slug,url,name,price,area,rooms,build_year,utilities,location,location_lat,location_lon,heating,floor,building_floors,state,market,ownership,ad_type,collage,scrapped_date,luxury_level
apartament-3-poziomowy-6-pokojowy-nowy-2026-ID4vALW,https://www.otodom.pl/pl/oferta/apartament-3-poziomowy-6-pokojowy-nowy-2026-ID4vALW,Apartament 3 poziomowy 6 pokojowy - nowy 2026,1698180.0,128.65,6,2026.0,"['internet', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'balkon', 'ogródek', 'oddzielna kuchnia', 'garaż/miejsce parkingowe']","['Górka Narodowa', 'Prądnik Biały', 'Kraków', 'małopolskie']",50.09884,19.9441,gas,ground_floor,2.0,to_completion,primary,full_ownership,business,otodom_photos/apartament-3-poziomowy-6-pokojowy-nowy-2026-ID4vALW/apartament-3-poziomowy-6-pokojowy-nowy-2026-ID4vALW_collage.jpg,2025-05-31,-1.0
3-pokojowe-mieszkanie-z-ogrodkiem-80m2-ID4vALV,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-z-ogrodkiem-80m2-ID4vALV,3 pokojowe mieszkanie z ogródkiem 80m2,739000.0,64.4,3,2026.0,"['internet', 'drzwi / okna antywłamaniowe', 'rolety antywłamaniowe', 'ogródek', 'garaż/miejsce parkingowe']","['Witkowice', 'Prądnik Biały', 'Kraków', 'małopolskie']",50.11803,19.94196,gas,ground_floor,2.0,to_completion,primary,full_ownership,business,otodom_photos/3-pokojowe-mieszkanie-z-ogrodkiem-80m2-ID4vALV/3-pokojowe-mieszkanie-z-ogrodkiem-80m2-ID4vALV_collage.jpg,2025-05-31,-1.0
uciekaj-z-ciasnoty-tu-masz-przestrzen-ID4vALT,https://www.otodom.pl/pl/oferta/uciekaj-z-ciasnoty-tu-masz-przestrzen-ID4vALT,Uciekaj z ciasnoty – tu masz przestrzeń!,1168155.0,86.53,4,,[],"['Mistrzejowice', 'Mistrzejowice', 'Kraków', 'małopolskie']",50.0996061,20.0167074,,floor_3,8.0,,primary,,business,otodom_photos/uciekaj-z-ciasnoty-tu-masz-przestrzen-ID4vALT/uciekaj-z-ciasnoty-tu-masz-przestrzen-ID4vALT_collage.jpg,2025-05-31,8.0
4-pokojowe-mieszkanie-z-widokiem-na-tatry-ID4vALU,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-z-widokiem-na-tatry-ID4vALU,4 pokojowe mieszkanie z widokiem na Tatry,709000.0,64.8,4,2026.0,"['internet', 'drzwi / okna antywłamaniowe', 'rolety antywłamaniowe', 'balkon', 'garaż/miejsce parkingowe']","['Witkowice', 'Prądnik Biały', 'Kraków', 'małopolskie']",50.11803,19.94196,gas,floor_2,2.0,to_completion,primary,full_ownership,business,otodom_photos/4-pokojowe-mieszkanie-z-widokiem-na-tatry-ID4vALU/4-pokojowe-mieszkanie-z-widokiem-na-tatry-ID4vALU_collage.jpg,2025-05-31,-1.0
bronowice-ul-na-blonie-3pok-54m2-balkon-ID4vpr4,https://www.otodom.pl/pl/oferta/bronowice-ul-na-blonie-3pok-54m2-balkon-ID4vpr4,Bronowice ul. Na Błonie 3pok 54m2 + balkon,780000.0,54.0,3,1975.0,"['domofon / wideofon', 'piwnica', 'winda', 'balkon', 'garaż/miejsce parkingowe', 'oddzielna kuchnia']","['Bronowice', 'Bronowice', 'Kraków', 'małopolskie']",50.0769657,19.8791039,urban,floor_9,10.0,to_renovation,secondary,full_ownership,business,otodom_photos/bronowice-ul-na-blonie-3pok-54m2-balkon-ID4vpr4/bronowice-ul-na-blonie-3pok-54m2-balkon-ID4vpr4_collage.jpg,2025-05-31,5.0
lindego-apartament-z-klasa-dla-wymagajacych-ID4vAL8,https://www.otodom.pl/pl/oferta/lindego-apartament-z-klasa-dla-wymagajacych-ID4vAL8,"Lindego – apartament z klasą, dla wymagających !",2275000.0,102.31,4,2025.0,"['telefon', 'internet', 'telewizja kablowa', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'monitoring / ochrona', 'winda', 'taras']","['Bronowice', 'Bronowice', 'Kraków', 'małopolskie']",50.0793137,19.8790783,urban,floor_6,7.0,to_completion,primary,full_ownership,business,otodom_photos/lindego-apartament-z-klasa-dla-wymagajacych-ID4vAL8/lindego-apartament-z-klasa-dla-wymagajacych-ID4vAL8_collage.jpg,2025-05-31,-1.0
mieszkanie-w-wysokim-standardzie-dzien-otwarty-31-maja-ID4vt1z,https://www.otodom.pl/pl/oferta/mieszkanie-w-wysokim-standardzie-dzien-otwarty-31-maja-ID4vt1z,Mieszkanie w wysokim standardzie - Dzień Otwarty 31 maja,1520000.0,84.0,4,2022.0,"['internet', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'meble', 'zmywarka', 'lodówka', 'kuchenka', 'piekarnik', 'balkon', 'garaż/miejsce parkingowe', 'piwnica', 'winda', 'klimatyzacja']","['Mydlniki', 'Bronowice', 'Kraków', 'małopolskie']",50.08332,19.86531,urban,floor_3,7.0,ready_to_use,secondary,full_ownership,business,otodom_photos/mieszkanie-w-wysokim-standardzie-dzien-otwarty-31-maja-ID4vt1z/mieszkanie-w-wysokim-standardzie-dzien-otwarty-31-maja-ID4vt1z_collage.jpg,2025-05-31,8.0
okazja-bez-pcc-ruczaj-park-2-pok-mieszkanie-40-62-m2-balkon-ID4vi75,https://www.otodom.pl/pl/oferta/okazja-bez-pcc-ruczaj-park-2-pok-mieszkanie-40-62-m2-balkon-ID4vi75,"Okazja BEZ PCC - RUCZAJ PARK, 2 pok mieszkanie 40,62 m2, balkon",629000.0,40.62,2,2025.0,"['internet', 'telewizja kablowa', 'telefon', 'domofon / wideofon', 'balkon', 'garaż/miejsce parkingowe', 'taras', 'winda']","['Skotniki', 'Dębniki', 'Kraków', 'małopolskie']",50.014219571209,19.883288340794,urban,floor_2,3.0,to_completion,primary,full_ownership,private,otodom_photos/okazja-bez-pcc-ruczaj-park-2-pok-mieszkanie-40-62-m2-balkon-ID4vi75/okazja-bez-pcc-ruczaj-park-2-pok-mieszkanie-40-62-m2-balkon-ID4vi75_collage.jpg,2025-05-31,-1.0
widokowe-mieszkanie-obok-parku-kurdwanow-ID4wRl6,https://www.otodom.pl/pl/oferta/widokowe-mieszkanie-obok-parku-kurdwanow-ID4wRl6,Widokowe mieszkanie obok Parku Kurdwanów,790000.0,61.4,3,1985.0,"['drzwi / okna antywłamaniowe', 'domofon / wideofon', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'pralka', 'balkon', 'piwnica', 'oddzielna kuchnia']","['Kurdwanów', 'Podgórze Duchackie', 'Kraków', 'małopolskie']",50.005943,19.954028,urban,floor_4,4.0,ready_to_use,secondary,limited_ownership,business,otodom_photos/widokowe-mieszkanie-obok-parku-kurdwanow-ID4wRl6/widokowe-mieszkanie-obok-parku-kurdwanow-ID4wRl6_collage.jpg,2025-05-31,7.0
2-pokojowe-37-5m2-ostanie-wolne-albanska-blisko-parku-ID4vAKn,https://www.otodom.pl/pl/oferta/2-pokojowe-37-5m2-ostanie-wolne-albanska-blisko-parku-ID4vAKn,"2 pokojowe 37,5m2 ostanie wolne Albańska blisko parku",525000.0,37.5,2,2026.0,"['rolety antywłamaniowe', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'balkon', 'garaż/miejsce parkingowe', 'piwnica', 'winda', 'oddzielna kuchnia']","['Wola Duchacka', 'Podgórze Duchackie', 'Kraków', 'małopolskie']",50.0198859,19.9679943,urban,floor_2,2.0,to_completion,primary,full_ownership,business,otodom_photos/2-pokojowe-37-5m2-ostanie-wolne-albanska-blisko-parku-ID4vAKn/2-pokojowe-37-5m2-ostanie-wolne-albanska-blisko-parku-ID4vAKn_collage.jpg,2025-05-31,-1.0
mieszkanie-2-pokojowe-40m2-balkon-klimatyzacja-ID4gvE7,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-40m2-balkon-klimatyzacja-ID4gvE7,"Mieszkanie 2-pokojowe 40m2 + balkon, klimatyzacja",710000.0,39.6,2,2008.0,"['telewizja kablowa', 'internet', 'teren zamknięty', 'domofon / wideofon', 'rolety antywłamaniowe', 'zmywarka', 'lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'pralka', 'klimatyzacja', 'balkon']","['Chełm', 'Zwierzyniec', 'Kraków', 'małopolskie']",50.0689927,19.8439949,boiler_room,ground_floor,2.0,ready_to_use,secondary,full_ownership,private,otodom_photos/mieszkanie-2-pokojowe-40m2-balkon-klimatyzacja-ID4gvE7/mieszkanie-2-pokojowe-40m2-balkon-klimatyzacja-ID4gvE7_collage.jpg,2025-05-31,6.0
