slug,url,name,price,area,rooms,build_year,utilities,location,location_lat,location_lon,heating,floor,building_floors,state,market,ownership,ad_type,collage,scrapped_date,luxury_level
zadbane-2-pokojowe-w-rejonie-placu-bienczyckiego-ID4vq6R,https://www.otodom.pl/pl/oferta/zadbane-2-pokojowe-w-rejonie-placu-bienczyckiego-ID4vq6R,Zadbane 2-pokojowe w rejonie Placu Bieńczyckiego!,559000.0,37.5,2,1970.0,"['internet', 'telewizja kablowa', 'telefon', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'monitoring / ochrona', 'meble', 'pralka', 'lodówka', 'kuchenka', 'piekarnik', 'pom. użytkowe', 'piwnica', 'oddzielna kuchnia']","['Bieńczyce', 'Bieńczyce', 'Kraków', 'małopolskie']",50.08872,20.0297,urban,floor_3,4.0,ready_to_use,secondary,full_ownership,business,otodom_photos/zadbane-2-pokojowe-w-rejonie-placu-bienczyckiego-ID4vq6R/zadbane-2-pokojowe-w-rejonie-placu-bienczyckiego-ID4vq6R_collage.jpg,2025-05-31,4.0
2-pokoje-kuchnia-na-zabincu-ID4vq94,https://www.otodom.pl/pl/oferta/2-pokoje-kuchnia-na-zabincu-ID4vq94,2 pokoje + kuchnia na Żabińcu,690000.0,48.0,2,2008.0,"['internet', 'telewizja kablowa', 'telefon', 'rolety antywłamaniowe', 'drzwi / okna antywłamaniowe', 'domofon / wideofon', 'monitoring / ochrona', 'meble', 'pralka', 'lodówka', 'kuchenka', 'piekarnik', 'telewizor', 'garaż/miejsce parkingowe', 'piwnica', 'taras', 'winda', 'oddzielna kuchnia']","['Żabiniec', 'Prądnik Biały', 'Kraków', 'małopolskie']",50.08383,19.94345,,ground_floor,6.0,ready_to_use,secondary,full_ownership,business,otodom_photos/2-pokoje-kuchnia-na-zabincu-ID4vq94/2-pokoje-kuchnia-na-zabincu-ID4vq94_collage.jpg,2025-05-31,4.0
bunscha-residence-ID4uatP,https://www.otodom.pl/pl/oferta/bunscha-residence-ID4uatP,Bunscha Residence,526674.0,,0,,"['Miejsce parkingowe podziemne', 'Windy']","['Ruczaj', 'Dębniki', 'Kraków', 'małopolskie']",50.016686426068,19.888540337933,,,,,primary,,business,otodom_photos/bunscha-residence-ID4uatP/bunscha-residence-ID4uatP_collage.jpg,2025-05-31,8.0
pekowicka-94-ID4t4tp,https://www.otodom.pl/pl/oferta/pekowicka-94-ID4t4tp,Pękowicka 94,549120.0,,0,,"['Miejsce parkingowe podziemne', 'Windy']","['Tonie', 'Prądnik Biały', 'Kraków', 'małopolskie']",50.10122,19.91452,,,,,primary,,business,otodom_photos/pekowicka-94-ID4t4tp/pekowicka-94-ID4t4tp_collage.jpg,2025-05-31,7.0
ruczaj-2-pok-przy-kobierzynskiej-balkon-ID4wlcq,https://www.otodom.pl/pl/oferta/ruczaj-2-pok-przy-kobierzynskiej-balkon-ID4wlcq,Ruczaj 2 pok przy Kobierzyńskiej | Balkon,723000.0,68.9,2,,"['domofon / wideofon', 'balkon']","['Ruczaj', 'Dębniki', 'Kraków', 'małopolskie']",50.01865,19.90682,,floor_1,2.0,,secondary,full_ownership,business,otodom_photos/ruczaj-2-pok-przy-kobierzynskiej-balkon-ID4wlcq/ruczaj-2-pok-przy-kobierzynskiej-balkon-ID4wlcq_collage.jpg,2025-05-31,-1.0
nowe-m3-bezposrednio-2-lazienki-oddzielna-kuchnia-komorka-parking-ID4vDzZ,https://www.otodom.pl/pl/oferta/nowe-m3-bezposrednio-2-lazienki-oddzielna-kuchnia-komorka-parking-ID4vDzZ,"Nowe M3 bezpośrednio, 2 łazienki, oddzielna kuchnia, komórka, parking",1129000.0,65.5,3,2024.0,"['domofon / wideofon', 'meble', 'pralka', 'zmywarka', 'lodówka', 'kuchenka', 'piekarnik', 'balkon', 'garaż/miejsce parkingowe', 'piwnica', 'winda', 'oddzielna kuchnia']","['Płaszów', 'Podgórze', 'Kraków', 'małopolskie']",50.046558849921,19.998261789436,urban,floor_3,5.0,ready_to_use,secondary,full_ownership,private,otodom_photos/nowe-m3-bezposrednio-2-lazienki-oddzielna-kuchnia-komorka-parking-ID4vDzZ/nowe-m3-bezposrednio-2-lazienki-oddzielna-kuchnia-komorka-parking-ID4vDzZ_collage.jpg,2025-05-31,8.0
felinskiego-gorka-narodowa-2-pokojowe-balkon-rozkladowe-ID4wP42,https://www.otodom.pl/pl/oferta/felinskiego-gorka-narodowa-2-pokojowe-balkon-rozkladowe-ID4wP42,"Felińskiego / Górka Narodowa 2 pokojowe, balkon, ROZKŁADOWE",670000.0,46.45,2,2005.0,"['internet', 'domofon / wideofon', 'monitoring / ochrona', 'system alarmowy', 'meble', 'pralka', 'zmywarka', 'lodówka', 'kuchenka', 'piekarnik', 'balkon', 'piwnica', 'oddzielna kuchnia']","['Górka Narodowa', 'Prądnik Biały', 'Kraków', 'małopolskie']",50.1003008,19.9675404,boiler_room,floor_1,4.0,ready_to_use,secondary,full_ownership,business,otodom_photos/felinskiego-gorka-narodowa-2-pokojowe-balkon-rozkladowe-ID4wP42/felinskiego-gorka-narodowa-2-pokojowe-balkon-rozkladowe-ID4wP42_collage.jpg,2025-05-31,5.0
mieszkanie-56-m-krakow-ID4wQPv,https://www.otodom.pl/pl/oferta/mieszkanie-56-m-krakow-ID4wQPv,"Mieszkanie, 56 m², Kraków",680000.0,56.0,2,2003.0,"['internet', 'system alarmowy', 'balkon', 'winda', 'oddzielna kuchnia']","['Kurdwanów', 'Podgórze Duchackie', 'Kraków', 'małopolskie']",50.008697,19.96092,urban,floor_2,4.0,ready_to_use,secondary,full_ownership,business,otodom_photos/mieszkanie-56-m-krakow-ID4wQPv/mieszkanie-56-m-krakow-ID4wQPv_collage.jpg,2025-05-31,6.0
ostatnie-mieszkania-green-apartments-petrazyckieg-ID47b5l,https://www.otodom.pl/pl/oferta/ostatnie-mieszkania-green-apartments-petrazyckieg-ID47b5l,OSTATNIE MIESZKANIA Green Apartments Petrażyckieg,699000.0,93.0,4,2024.0,"['telewizja kablowa', 'internet', 'telefon', 'teren zamknięty', 'domofon / wideofon', 'balkon', 'dwupoziomowe']","['Olszyny', 'Dębniki', 'Kraków', 'małopolskie']",49.980371751140005,19.86830049700622,gas,floor_1,2.0,to_completion,primary,full_ownership,private,otodom_photos/ostatnie-mieszkania-green-apartments-petrazyckieg-ID47b5l/ostatnie-mieszkania-green-apartments-petrazyckieg-ID47b5l_collage.jpg,2025-05-31,-1.0
mieszkanie-2-pokojowe-z-balkonem-37-m-ul-dolnomlynska-5-krakow-ID4vycx,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-z-balkonem-37-m-ul-dolnomlynska-5-krakow-ID4vycx,"Mieszkanie 2-pokojowe z balkonem – 37 m², ul. Dolnomłyńska 5, Kraków",596183.0,37.02,2,2027.0,"['drzwi / okna antywłamaniowe', 'domofon / wideofon', 'balkon', 'garaż/miejsce parkingowe', 'winda']","['Czyżyny', 'Czyżyny', 'Kraków', 'małopolskie']",50.072847,20.0069636,gas,floor_2,3.0,to_completion,primary,full_ownership,business,otodom_photos/mieszkanie-2-pokojowe-z-balkonem-37-m-ul-dolnomlynska-5-krakow-ID4vycx/mieszkanie-2-pokojowe-z-balkonem-37-m-ul-dolnomlynska-5-krakow-ID4vycx_collage.jpg,2025-05-31,-1.0
